	0
332454	True
1107755	True
258812	True
190254	True
349142	True
1517779	True
320169	True
4334618	True
208571	True
259564	True
268720	True
334365	True
260397	True
192878	True
265708	True
350404	True
336276	True
266720	True
4299126	True
318819	True
266726	True
577082	True
263546	True
274844	True
176444	True
228043	True
322585	True
210908	True
198363	True
271490	True
288931	True
346098	True
267847	True
337727	True
4338733	True
269777	True
188741	True
4403349	True
314810	True
268596	True
174727	True
186122	True
175125	True
263873	True
262960	True
258641	True
182033	True
799034	True
180105	True
199567	True
275743	True
195005	True
275627	True
187233	True
198701	True
343853	True
186024	True
260532	True
269902	True
260927	True
321019	True
276985	True
261142	True
3750373	True
262556	True
2978254	True
274438	True
189346	True
2645488	True
258283	True
1110378	True
863682	True
185743	True
2645483	True
263908	True
269058	True
188402	True
262399	True
4390755	True
4390754	True
4397402	True
51677	True
269056	True
192832	True
191579	True
328276	True
427241	True
258725	True
351881	True
320490	True
181473	True
192930	True
331043	True
194662	True
191772	True
233587	True
270662	True
272788	True
187790	True
174056	True
341750	True
196533	True
276110	True
180972	True
288109	True
196085	True
183390	True
262935	True
264795	True
2897332	True
4397901	True
307445	True
270519	True
183477	True
305177	True
187989	True
171617	True
259910	True
259911	True
190425	True
183478	True
4449524	True
268978	True
290338	True
178490	True
258368	True
299261	True
334328	True
185923	True
167034	True
185222	True
162991	True
173923	True
329712	True
259820	True
340189	True
4453627	True
174573	True
3694603	True
186555	True
180671	True
1571092	True
274274	True
267452	True
259293	True
173986	True
1844565	True
162639	True
332132	True
175573	True
258455	True
175575	True
259593	True
193463	True
2963421	True
182079	True
1678333	True
258250	True
269378	True
192204	True
266587	True
343420	True
192209	True
273232	True
320844	True
199445	True
204003	True
321331	True
646499	True
177473	True
258423	True
192701	True
276312	True
233991	True
181237	True
276701	True
259771	True
318395	True
266546	True
196746	True
359175	True
271500	True
190649	True
815828	True
337673	True
196138	True
181733	True
4393892	True
175377	True
355822	True
355468	True
4476330	True
148722	True
271185	True
175432	True
303652	True
346291	True
308117	True
183211	True
183812	True
311564	True
4435934	True
179427	True
293580	True
187807	True
176455	True
322839	True
183958	True
261467	True
216155	True
325541	True
230268	True
266247	True
274509	True
271439	True
259271	True
197765	True
182420	True
189879	True
307640	True
177533	True
269006	True
175658	True
266192	True
183362	True
325126	True
185328	True
183431	True
199137	True
304604	True
273586	True
330921	True
191398	True
194145	True
176118	True
174432	True
4460560	True
833390	True
213896	True
4402077	True
180731	True
204171	True
191811	True
365256	True
307416	True
169901	True
273902	True
182995	True
263165	True
288075	True
270707	True
275974	True
195691	True
1684221	True
290235	True
310499	True
697874	True
258559	True
273648	True
265563	True
321484	True
341223	True
835928	True
258550	True
190061	True
170335	True
260387	True
4327881	True
265280	True
197216	True
177822	True
190460	True
199273	True
267789	True
186526	True
258899	True
236225	True
260410	True
266860	True
174320	True
